"","day","year","mo","da","collision_date","temp","dewp","slp","visib","wdsp","mxpsd","gust","max","min","prcp","fog","NUM_COLLISIONS","temp_mean"
"196",4,2014,1,2,2014-01-02,31.1,22.4,1020.8,5.8,10.9,25.1,34,35.6,26.1,0,0,603,30.85
"197",6,2018,1,20,2018-01-20,38.1,32.5,1010.9,10,14.3,25.1,34,46.9,24.1,0,0,530,35.5
"198",6,2017,1,28,2017-01-28,38.7,23.1,1000.8,10,18.3,25.1,33,45,36,0,0,501,40.5
"199",5,2019,1,25,2019-01-25,37,28.5,1010.5,8.9,14,26,35,52,30,0.28,0,666,41
"200",1,2017,1,23,2017-01-23,40.9,34.4,1011.4,8.8,18.6,26,38.1,44.1,37.4,0,0,667,40.75
"201",2,2018,1,23,2018-01-23,45.3,45.3,1012.9,4.4,16.2,26,35.9,51.1,27,0,1,531,39.05
"202",3,2015,1,7,2015-01-07,22.6,10.2,1011.8,9.4,12.1,26,35.9,27,17.1,0,0,538,22.05
"203",1,2018,1,8,2018-01-08,35,28,1023.6,9.9,18.3,26,33,42.1,21.9,0,0,720,32
"204",1,2018,1,29,2018-01-29,40.3,37.7,1021.4,6.9,12.1,26,34,46,37,0.2,1,531,41.5
"205",3,2016,1,20,2016-01-20,29.4,11.2,1014.4,10,18.9,27,36.9,37,21.9,0,0,623,29.45
"206",2,2019,1,22,2019-01-22,15.8,-2.3,1026.7,10,17.6,27,36.9,28,6.1,0,0,627,17.05
"207",6,2015,1,31,2015-01-31,24.5,12.9,1006.9,7.8,20.3,27,36.9,34,17.1,0.06,0,526,25.55
"208",3,2017,1,11,2017-01-11,45,40.9,1027.3,6.5,15.1,27,34,50,28.9,0.33,0,629,39.45
"209",7,2019,1,20,2019-01-20,43.2,42.4,1012.4,2.8,17,27,36.9,52,28,0.61,1,411,40
"210",6,2014,1,25,2014-01-25,32,23,1011.2,8.5,17,27,35.9,41,10.9,0,0,475,25.95
"211",2,2016,1,19,2016-01-19,25.5,4.8,1007.1,10,21.7,27,38.1,37.9,21.9,0.02,0,662,29.9
"212",1,2016,1,18,2016-01-18,34.4,24.9,1002.2,8.8,15.3,27,35,44.1,26.1,0.45,0,481,35.1
"213",4,2013,1,31,2013-01-31,46.5,40.3,995.5,5.9,23.1,28,39,54,39,0.02,1,592,46.5
"214",7,2014,1,19,2014-01-19,36.1,29,1005.7,10,16.5,28,38.1,43,32,0.04,0,380,37.5
"215",5,2018,1,5,2018-01-05,23,13.8,995.7,9.5,23.4,28,39,42.1,15.1,2.14,0,700,28.6
"216",3,2019,1,30,2019-01-30,36.8,29.5,1009.8,8.8,15.1,28,41,42.1,30,0.39,0,630,36.05
"217",6,2018,1,6,2018-01-06,13.2,-0.2,1013.5,10,22.4,28,39,27,10.9,0,0,599,18.95
"218",4,2020,1,16,2020-01-16,40.4,34.3,1010.7,6.6,11,28.9,44.1,48.9,30.2,0.01,1,547,39.55
"219",5,2017,1,27,2017-01-27,42.1,29.8,997.8,9.9,20.3,28.9,35.9,45,39.9,0.1,0,583,42.45
"220",7,2014,1,12,2014-01-12,45.1,38.4,1003.8,5.5,14.7,28.9,36.9,53.1,39,1.6,1,388,46.05
"221",1,2015,1,5,2015-01-05,44,32.1,1012.9,7.6,16.3,28.9,39,55,28.9,0.27,0,498,41.95
"222",2,2017,1,24,2017-01-24,48.9,46.9,992.3,2.3,17.2,28.9,41,55,37.9,0.85,1,564,46.45
"223",5,2020,1,17,2020-01-17,27.1,10.8,1023.8,10,24,28.9,40,50,21.9,0.04,0,565,35.95
"224",2,2014,1,7,2014-01-07,23.9,10.4,1009.6,9.4,17.6,28.9,41,52,15.1,0.12,0,491,33.55
"225",2,2016,1,5,2016-01-05,27.7,18.1,1028.5,7.9,20.3,28.9,39,43,24.1,0,0,640,33.55
