date,year,mo,da,temp,dewp,slp,visib,wdsp,mxpsd,gust
2012-01-01,2012,01,01,27.7,26.0,1007.9,999.9,13.8,25.3,999.9
2012-01-01,2012,01,01,50.8,9999.9,9999.9,999.9,999.9,999.9,999.9
2012-01-01,2012,01,01,39.8,36.0,1014.8,999.9,10.7,16.9,26.0
2012-01-01,2012,01,01,14.1,0.7,9999.9,999.9,999.9,999.9,999.9
2012-01-01,2012,01,01,71.4,57.6,1016.7,999.9,4.8,11.1,999.9
2012-01-01,2012,01,01,25.2,20.6,9999.9,999.9,1.0,1.9,999.9
2012-01-01,2012,01,01,69.6,56.4,9999.9,999.9,7.7,15.9,999.9
2012-01-01,2012,01,01,33.0,31.9,995.7,999.9,3.3,5.8,999.9
2012-01-01,2012,01,01,30.6,27.4,1011.2,999.9,6.2,10.9,16.9
2012-01-01,2012,01,01,65.7,9999.9,9999.9,999.9,999.9,999.9,999.9
2012-01-01,2012,01,01,76.0,60.2,1006.1,999.9,17.2,23.9,999.9
2012-01-01,2012,01,01,42.5,42.5,9999.9,999.9,17.1,20.0,35.9
2012-01-01,2012,01,01,70.6,56.5,9999.9,999.9,5.5,8.0,999.9
2012-01-01,2012,01,01,26.1,25.4,1012.5,999.9,2.8,5.8,999.9
2012-01-01,2012,01,01,74.5,58.8,1016.4,999.9,14.0,20.0,999.9
2012-01-01,2012,01,01,11.3,-1.8,9999.9,999.9,999.9,999.9,999.9
2012-01-01,2012,01,01,41.4,38.1,1014.1,999.9,10.8,25.1,999.9
2012-01-01,2012,01,01,-4.5,-6.1,1034.0,999.9,3.2,5.8,999.9
2012-01-01,2012,01,01,20.0,9999.9,9999.9,999.9,999.9,999.9,999.9
2012-01-01,2012,01,01,30.8,22.3,1008.6,999.9,16.6,27.2,999.9
2012-01-01,2012,01,01,87.6,75.4,1007.5,999.9,7.5,9.9,999.9
2012-01-01,2012,01,01,32.6,9999.9,1002.0,999.9,11.3,15.0,999.9
2012-01-01,2012,01,01,16.3,9.4,9999.9,999.9,5.7,11.1,24.1
2012-01-01,2012,01,01,52.9,15.9,9999.9,999.9,4.5,9.9,999.9
2012-01-01,2012,01,01,18.2,10.5,1027.1,999.9,17.5,23.9,38.1
2012-01-01,2012,01,01,15.6,8.3,1028.8,999.9,13.4,15.5,999.9
2012-01-01,2012,01,01,3.0,0.3,1040.1,999.9,0.0,999.9,999.9
2012-01-01,2012,01,01,-7.9,-13.0,1006.4,999.9,0.5,1.9,999.9
2012-01-01,2012,01,01,81.1,9999.9,1009.6,999.9,21.0,23.9,999.9
2012-01-01,2012,01,01,67.9,47.0,1015.3,999.9,4.8,8.9,999.9
2012-01-01,2012,01,01,24.6,9999.9,9999.9,999.9,9.6,999.9,999.9
2012-01-01,2012,01,01,37.7,34.6,9999.9,999.9,2.2,5.1,8.9
2012-01-01,2012,01,01,32.5,9999.9,9999.9,999.9,999.9,999.9,999.9
2012-01-01,2012,01,01,59.6,9999.9,9999.9,999.9,999.9,999.9,999.9
2012-01-01,2012,01,01,33.0,30.2,1023.0,999.9,1.7,1.9,999.9
2012-01-01,2012,01,01,12.7,1.8,9999.9,999.9,999.9,999.9,999.9
2012-01-01,2012,01,01,13.4,2.8,9999.9,999.9,999.9,999.9,999.9
2012-01-01,2012,01,01,90.2,53.5,1007.4,999.9,8.7,14.0,999.9
2012-01-01,2012,01,01,12.2,1.0,9999.9,999.9,13.0,23.9,43.9
2012-01-01,2012,01,01,86.8,80.2,1008.2,999.9,6.6,8.0,999.9
2012-01-01,2012,01,01,84.5,72.6,1011.3,999.9,7.3,8.9,13.0
2012-01-01,2012,01,01,14.3,-1.3,9999.9,999.9,999.9,999.9,999.9
